product_id,product_name,brands,energy,saturated_fats,sugars,eco_score_num,nutri_score_num,nova_score_num,product_additive_count
9535,Queso - Hiper Dino,Hiper Dino,320.00,17.00,0.00,4.00,4.00,3.00,
9536,Pan rústico 100% integral de trigo - El Corte Inglés,El Corte Inglés,276.00,0.80,5.50,2.00,1.00,3.00,1.00
9537,natural fruit sticks - Vidal,Vidal,387.00,2.10,66.00,,4.00,4.00,5.00
9538,Pera y kiwi exprimidos - Bonarea,Bonarea,56.00,0.00,9.80,5.00,3.00,1.00,
9539,Corned beef,,199.00,6.40,0.00,,4.00,3.00,1.00
9540,Naturall sour fruit mix - Vidal,Vidal,342.00,0.10,59.00,3.00,4.00,4.00,5.00
9541,MARGARINA - violife,Violife,711.00,48.00,0.50,2.00,5.00,4.00,
9542,Piña natural en rodajas - Hacendado,Hacendado,58.00,0.00,10.00,2.00,1.00,1.00,
9543,Almond milk,Silk,25.00,0.00,2.92,3.00,2.00,4.00,4.00
9544,Thick & chunky salsa mild - Old El Paso,Old El Paso,39.00,0.00,5.20,,2.00,3.00,1.00
9545,Pancake syrup - Walden Farms,Walden Farms,0.00,0.00,0.00,,3.00,4.00,7.00
9546,Complete pancake & waffle mix - Great Value,Great Value,362.00,0.00,13.79,,,4.00,5.00
